Antwort ID,Geschlecht,Altersgruppe,E-Mail,ZHAW-Student,Wie häufig nutzen Sie aktuell generative KI im Arbeitskontext? [Benutzung KI],Wo setzen Sie Generative KI typischerweise ein? [Texterstellung und -bearbeitung (z.B. Verfassung von Mails  Artikel oder Zusammenfassungen)],Wo setzen Sie Generative KI typischerweise ein? [Kreative Inhalte erstellen (z.B. Bilder  Musik  Videos  Designs etc.)],Wo setzen Sie Generative KI typischerweise ein? [Programmieren und Automatisieren (z.B. Code schreiben  Fehler beheben etc.)],Wo setzen Sie Generative KI typischerweise ein? [Lernen und Bildung (z.B. individuelle Erklärungen  Zusammenfassungen  Lernhilfe etc.)],Wo setzen Sie Generative KI typischerweise ein? [Kommunikation und Übersetzung verbessern (z.B. Korrektur von Texten  Übersetzungen von Artikeln etc.)],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Effizienz],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Kreativität],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Arbeitsentlastung],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Zuverlässigkeit],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Innovation],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 2],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Zeitersparnis],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Kreative Impulse],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Entlastung (Zeit + Aufwand)],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Qualität],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Keine bemerkbaren Effekte],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Ungenaue Resultate],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Fehlender Datenschutz],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verbreitung von Fehlinformationen (Fake News)],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Abhängigkeit von Technologie],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verlust von Originalität / menschlicher Kreativität],Wie stark vertrauen Sie den Resultaten von Generativer KI?,Hat Generative KI Ihre Arbeitsweise verändert?,Wie kompetent fühlen Sie sich im Umgang mit Generativer KI?,Hatten Sie Schulungen oder Trainings im Zusammenhang mit Generativer KI?,Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Technologische Infrastruktur],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Guidelines zur Benutzung von Generativer KI],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Schulungen / Kurse / Webinare],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Rechtliche Richtlinien],Wie 4 unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Kulturelle Offenheit],Würden Sie Generative KI Ihren Mitmenschen weiterempfehlen? [Weiterempfehlung],Planen Sie Generative KI in Zukunft (mehr) zu nutzen?  
1,Männlich,18-25,@students.zhaw.ch,TRUE,7,TRUE,FALSE,TRUE,TRUE,FALSE,3,2,4,4,5,3,4,2,3,4,4,4,4,5,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,3,FALSE,3,3,3,3,3,10,1
2,Männlich,18-25,@ipso.student.ch,FALSE,7,TRUE,FALSE,FALSE,TRUE,TRUE,3,2,3,2,2,2,4,2,5,3,4,2,4,2,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,3,FALSE,3,3,2,2,4,10,1
3,Männlich,26-35,@icloud.com,FALSE,4,TRUE,FALSE,FALSE,TRUE,FALSE,4,4,5,5,4,4,4,4,4,4,5,4,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,3,FALSE,4,3,4,4,3,7,1
4,Männlich,18-25,@students.zhaw.ch,TRUE,9,TRUE,FALSE,TRUE,TRUE,TRUE,1,4,2,3,3,3,4,3,4,2,4,2,4,3,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,3,FALSE,2,2,2,2,2,8,1
5,Männlich,26-35,@stud.unilu.ch,FALSE,8,TRUE,FALSE,FALSE,TRUE,TRUE,5,2,5,3,2,5,4,2,3,4,4,3,3,2,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,3,FALSE,1,1,1,1,1,8,1
6,Weiblich,18-25,@gmx.ch,FALSE,3,TRUE,FALSE,FALSE,FALSE,TRUE,3,1,4,5,3,3,4,1,5,4,5,4,5,3,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,1,FALSE,1,1,1,1,4,7,2
7,Männlich,18-25,@gmx.ch,FALSE,9,TRUE,FALSE,FALSE,TRUE,TRUE,5,4,4,4,4,4,4,4,3,4,4,5,3,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,TRUE,3,FALSE,3,3,2,2,3,10,1
8,Weiblich,18-25,@gmail.com,FALSE,7,TRUE,FALSE,FALSE,TRUE,TRUE,4,3,5,4,3,4,4,3,3,5,5,4,3,3,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,2,FALSE,3,3,3,2,2,7,2
9,Männlich,18-25,@gmx.ch,FALSE,5,TRUE,FALSE,FALSE,TRUE,TRUE,4,1,2,2,4,4,4,1,4,2,4,2,3,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,2,FALSE,1,1,1,1,4,6,1
11,Männlich,36-45,@gmx.ch,FALSE,8,FALSE,TRUE,FALSE,TRUE,TRUE,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,TRUE,3,TRUE,3,4,3,3,4,8,1
14,Weiblich,18-25,@hotmail.com,FALSE,5,TRUE,FALSE,FALSE,TRUE,TRUE,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE,4,FALSE,1,1,1,1,1,6,2
15,Männlich,26-35,@gmx.ch,FALSE,4,FALSE,FALSE,TRUE,TRUE,FALSE,3,2,2,1,1,3,4,2,1,2,3,1,2,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,FALSE,3,FALSE,1,2,1,3,2,5,2
16,Männlich,26-35,@sfb.ch,FALSE,7,TRUE,TRUE,FALSE,FALSE,FALSE,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,TRUE,3,FALSE,3,4,3,3,3,7,1
17,Männlich,26-35,@students.zhaw.ch,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,3,2,3,3,4,1,5,2,4,3,4,3,3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE,2,TRUE,5,3,2,2,3,9,1
18,Männlich,26-35,@gmail.com,FALSE,10,TRUE,FALSE,FALSE,TRUE,TRUE,3,4,4,5,4,3,4,4,4,5,5,5,4,4,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,3,TRUE,5,5,5,5,5,10,1
19,Männlich,18-25,@bluewin.ch,FALSE,2,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,4,3,3,4,4,3,2,4,4,3,4,3,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,2,FALSE,3,3,1,1,3,9,1
21,Männlich,18-25,@students.zhaw.ch,TRUE,7,TRUE,FALSE,TRUE,TRUE,FALSE,4,3,5,3,4,4,4,3,3,3,4,3,3,4,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,3,TRUE,3,4,3,3,3,9,1
22,Männlich,26-35,@students.zhaw.ch,TRUE,9,TRUE,FALSE,TRUE,FALSE,TRUE,4,2,3,4,3,4,1,4,2,4,3,3,3,1,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,2,TRUE,4,TRUE,3,4,5,4,4,9,1
23,Weiblich,18-25,@students.zhaw.ch,TRUE,6,TRUE,FALSE,TRUE,TRUE,TRUE,3,2,4,2,3,3,2,3,3,4,3,2,3,4,5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,TRUE,3,TRUE,1,1,1,1,1,8,1
24,Männlich,26-35,@students.zhaw.ch,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,4,2,4,4,5,2,3,4,5,2,3,4,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,2,TRUE,4,4,5,4,5,10,1
25,Männlich,26-35,@gmail.com,FALSE,9,TRUE,TRUE,FALSE,TRUE,TRUE,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,2,FALSE,3,2,2,1,4,9,1
27,Männlich,26-35,@gmail.com,FALSE,9,TRUE,FALSE,FALSE,TRUE,TRUE,5,4,4,4,2,4,4,4,3,4,4,2,2,1,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,TRUE,3,FALSE,4,5,2,5,4,9,1
30,Männlich,26-35,@netcloud.ch,FALSE,8,TRUE,FALSE,FALSE,TRUE,TRUE,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,4,TRUE,2,2,1,2,2,10,1
31,Männlich,26-35,@zhaw.ch,TRUE,10,FALSE,FALSE,TRUE,TRUE,TRUE,4,3,5,5,3,4,3,2,2,4,4,4,4,3,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,TRUE,1,FALSE,2,2,2,3,4,10,2
33,Männlich,36-45,@pato.ch,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,2,2,4,4,2,4,3,2,2,2,2,4,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,2,TRUE,3,3,3,4,3,6,1
34,Männlich,18-25,@students.zhaw.ch,TRUE,4,FALSE,FALSE,TRUE,FALSE,FALSE,5,4,4,2,3,5,4,4,4,4,4,2,2,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,3,FALSE,3,4,4,4,4,8,1
35,Männlich,18-25,@students.zhaw.ch,TRUE,8,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,5,3,5,4,5,4,4,5,5,3,4,5,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE,3,FALSE,1,1,2,1,3,10,1
36,Männlich,18-25,@students.zhaw.ch,TRUE,3,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,4,3,4,4,4,4,3,4,3,5,3,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,FALSE,2,FALSE,2,2,1,1,1,9,1
38,Männlich,36-45,@students.zhaw.ch,TRUE,10,TRUE,TRUE,TRUE,TRUE,TRUE,4,1,4,1,4,4,4,1,5,4,5,1,5,4,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,4,TRUE,2,2,5,5,5,10,1
39,Männlich,26-35,@bluewin.ch,FALSE,10,TRUE,FALSE,FALSE,TRUE,FALSE,5,2,5,2,1,5,4,2,1,5,4,2,2,1,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE,2,TRUE,5,4,4,2,5,10,1
40,Männlich,26-35,@hotmail.com,FALSE,7,TRUE,FALSE,TRUE,FALSE,TRUE,4,2,4,2,2,4,4,2,3,4,5,2,3,2,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,FALSE,3,2,2,3,4,8,1
41,Männlich,18-25,@stud.hslu.ch,FALSE,8,TRUE,FALSE,TRUE,TRUE,FALSE,4,3,4,3,3,4,4,3,3,4,4,3,3,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,3,FALSE,3,3,3,1,1,7,1
42,Weiblich,36-45,@quilvest.com,FALSE,4,TRUE,FALSE,FALSE,FALSE,TRUE,4,4,5,3,4,4,4,4,3,4,4,3,3,4,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE,1,FALSE,3,1,2,2,4,6,1
43,Weiblich,18-25,@students.zhaw.ch,TRUE,4,TRUE,FALSE,TRUE,TRUE,TRUE,2,1,4,2,5,2,4,1,3,4,4,2,2,5,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,TRUE,2,FALSE,4,1,2,2,3,9,3
44,Männlich,26-35,@gmail.com,FALSE,8,TRUE,TRUE,FALSE,TRUE,TRUE,4,3,5,4,3,4,4,3,4,4,5,4,3,3,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,3,FALSE,4,4,4,3,3,8,1
45,Männlich,26-35,@hotmail.com,FALSE,10,TRUE,FALSE,FALSE,TRUE,TRUE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,TRUE,3,FALSE,1,1,1,1,1,10,1
46,Männlich,18-25,@students.zhaw.ch,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,3,3,3,2,3,2,2,3,3,3,2,2,3,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,TRUE,2,FALSE,4,4,3,4,3,8,1
47,Männlich,26-35,@gmail.com,FALSE,3,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,3,5,4,4,4,3,4,3,3,4,4,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,FALSE,2,FALSE,1,1,1,1,1,10,1
49,Weiblich,26-35,@students.zhaw.ch,TRUE,5,TRUE,FALSE,TRUE,FALSE,FALSE,3,1,3,4,4,3,3,1,2,3,4,4,4,4,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,3,FALSE,1,1,1,1,3,8,1
50,Männlich,26-35,@students.zhaw.ch,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,5,3,2,2,1,5,5,4,2,3,3,1,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,3,TRUE,4,4,3,5,3,8,1
51,Männlich,26-35,@gmail.com,FALSE,10,TRUE,FALSE,TRUE,FALSE,TRUE,4,3,4,3,3,2,4,2,3,3,4,2,3,2,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,TRUE,3,FALSE,4,1,1,1,4,10,1
52,Weiblich,26-35,@students.zhaw.ch,TRUE,10,TRUE,FALSE,TRUE,TRUE,TRUE,4,3,5,4,3,5,5,4,4,5,5,5,5,3,3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,TRUE,3,FALSE,3,4,4,4,5,10,1
53,Männlich,18-25,@students.zhaw.ch,TRUE,8,TRUE,FALSE,TRUE,FALSE,FALSE,4,2,4,4,4,4,4,3,4,4,4,4,3,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE,3,FALSE,4,5,4,5,3,10,1
54,Männlich,26-35,@freenet.de,FALSE,7,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3,2,4,3,4,2,5,3,4,2,4,4,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,FALSE,2,2,1,1,2,10,1
56,Männlich,18-25,@students.zhaw.ch,TRUE,10,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,5,4,3,5,5,3,4,5,5,4,4,3,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,TRUE,3,FALSE,4,1,1,1,1,10,1
57,Männlich,18-25,@students.zhaw.ch,TRUE,3,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1,1,1,1,2,1,2,1,3,1,2,1,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,2,FALSE,3,2,2,2,2,4,2
58,Männlich,18-25,@students.zhaw.ch,TRUE,7,TRUE,FALSE,TRUE,TRUE,TRUE,2,2,3,2,3,5,4,2,2,4,4,4,3,4,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE,3,TRUE,3,4,3,2,2,10,1